,flg,text,text_length,is_year,is_month,is_date,is_time,num_hatena,num_bikkuri,is_eiga,is_henkakko,is_normalkakko,is_whitekakko,is_vol,is_sports,text_wakati,text_del_one
0,2,本田圭佑のｲﾁﾛｰ似作文が話題 必ず世界一になる   ,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,本田 圭 佑 の ｲﾁﾛｰ 似る 作文 が 話題   必ず 世界一 に なる ,本田 ｲﾁﾛｰ 似る 作文 話題 必ず 世界一 なる 
1,3,週末映画まとめ読み“美しすぎる知の女神”優木まおみが触らせて,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,週末 映画 まとめ 読む “ 美しい すぎる 知 の 女神 ” 優 木 まう みる が 触る せる て ,週末 映画 まとめ 読む 美しい すぎる 女神 まう みる 触る せる 
2,6,自宅で簡単! ﾖｶﾞﾎﾟｰｽﾞで花粉症をｽｯｷﾘ解消,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,自宅 で 簡単 !   ﾖｶﾞﾎﾟｰｽﾞ で 花粉 症 を ｽｯｷﾘ 解消 ,自宅 簡単 ﾖｶﾞﾎﾟｰｽﾞ 花粉 ｽｯｷﾘ 解消 
3,6,ﾃｨｰﾝが大熱狂! 溝端淳平さんの今年の夏はずっと側にいてください,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,ﾃｨｰﾝ が 大 熱狂 !   溝端 淳 平 さん の 今年 の 夏 は ずっと 側 に いる て くださる ,ﾃｨｰﾝ 熱狂 溝端 さん 今年 ずっと いる くださる 
4,1,ほんの少しだけ頑張っている独女なりの“ちょいｴｺ”とは?,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ほんの 少し だけ 頑張る て いる 独 女 なり の “ ちょい ｴｺ ” と は ? ,ほんの 少し だけ 頑張る いる なり ちょい ｴｺ 
5,0,話題地ﾃﾞｼﾞ化をきっかけに､ﾃﾚﾋﾞ離れが増加?,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,話題 地 ﾃﾞｼﾞ 化 を きっかけ に ､ ﾃﾚﾋﾞ 離れ が 増加 ? ,話題 ﾃﾞｼﾞ きっかけ ﾃﾚﾋﾞ 離れ 増加 
6,1,くさったよめがあらわれた!0秋の夜長の妄想三昧 presented by ゆるっとcafe,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,くさる た よ め が あらわれる た ! 0 秋 の 夜長 の 妄想 三昧   presented   by   ゆるい っと cafe ,くさる あらわれる 夜長 妄想 三昧 presented by ゆるい っと cafe 
7,8,いいとも!で紹介された乳児の名前が凄まじい!!と話題に,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,いい とも ! で 紹介 する れる た 乳児 の 名前 が 凄まじい !! と 話題 に ,いい とも 紹介 する れる 乳児 名前 凄まじい !! 話題 
8,6,一度行ったらﾊﾏること間違いなし! 夏の女子旅はﾏﾚｰｼｱへﾗﾝｶｳｲ島編,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,一度 行く た ﾊﾏ る こと 間違い ない !   夏 の 女子 旅 は ﾏﾚｰｼｱ へ ﾗﾝｶｳｲ 島 編 ,一度 行く ﾊﾏ こと 間違い ない 女子 ﾏﾚｰｼｱ ﾗﾝｶｳｲ 
9,8,いいとも!で紹介されたﾋﾄﾞすぎる名前が話題に,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,いい とも ! で 紹介 する れる た ﾋﾄﾞ すぎる 名前 が 話題 に ,いい とも 紹介 する れる ﾋﾄﾞ すぎる 名前 話題 
10,1,ｵﾄﾅ女子映画部歳を重ねても輝ける女性は何が違うのか?ﾃﾞﾝｼﾞｬﾗｽ･ﾋﾞｭｰﾃｨｰ,47.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,ｵﾄﾅ 女子 映画 部 歳 を 重ねる て も 輝ける 女性 は 何 が 違う の か ? ﾃﾞﾝｼﾞｬﾗｽ ･ ﾋﾞｭｰﾃｨｰ ,ｵﾄﾅ 女子 映画 重ねる 輝ける 女性 違う ﾃﾞﾝｼﾞｬﾗｽ ﾋﾞｭｰﾃｨｰ 
11,8,00歳下の女性と結婚のﾗｻｰﾙ石井に気持ち悪いと非難殺到,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00 歳 下 の 女性 と 結婚 の ﾗｻｰﾙ 石井 に 気持ち 悪い と 非難 殺到 ,00 女性 結婚 ﾗｻｰﾙ 石井 気持ち 悪い 非難 殺到 
12,2,ﾉﾑさん､日本人選手のﾒｼﾞｬｰ挑戦に本当はお金ですよ,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ﾉﾑ さん ､ 日本人 選手 の ﾒｼﾞｬｰ 挑戦 に 本当は お金 です よ ,ﾉﾑ さん 日本人 選手 ﾒｼﾞｬｰ 挑戦 本当は お金 です 
13,1,ぶっちゃけ結婚後はどうなっている?独女による婚約指輪の謎,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ぶる ちゃ く 結婚 後 は どう なる て いる ? 独 女 による 婚約 指輪 の 謎 ,ぶる ちゃ 結婚 どう なる いる による 婚約 指輪 
14,2,ｽｻﾞﾝﾇ､斉藤との夜の夫婦生活に言及,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ｽｻﾞﾝﾇ ､ 斉藤 と の 夜 の 夫婦 生活 に 言及 ,ｽｻﾞﾝﾇ 斉藤 夫婦 生活 言及 
15,5,こんなｱﾌﾟﾘもあったのか!ｽﾏｰﾄﾌｫﾝがﾏｳｽになる､あると便利なadvanced touchpad (ﾘﾓｰﾄﾏｳｽ)androidｱﾌﾟﾘ,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,こんな ｱﾌﾟﾘ も ある た の か ! ｽﾏｰﾄﾌｫﾝ が ﾏｳｽ に なる ､ ある と 便利 だ advanced   touchpad   ( ﾘﾓｰﾄﾏｳｽ ) android ｱﾌﾟﾘ ,こんな ｱﾌﾟﾘ ある ｽﾏｰﾄﾌｫﾝ ﾏｳｽ なる ある 便利 advanced touchpad ﾘﾓｰﾄﾏｳｽ android ｱﾌﾟﾘ 
16,1,今の世の中に､男らしい男がいないのはなぜ?,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,今 の 世の中 に ､ 男らしい 男 が いる ない の は なぜ ? ,世の中 男らしい いる ない なぜ 
17,3,ﾍﾙﾌﾟ 〜心がつなぐｽﾄｰﾘｰ〜､ｵｸﾀｳﾞｨｱ･ｽﾍﾟﾝｻｰが初のgg受賞,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ﾍﾙﾌﾟ   〜 心 が つなぐ ｽﾄｰﾘｰ 〜 ､ ｵｸﾀｳﾞｨｱ ･ ｽﾍﾟﾝｻｰ が 初 の gg 受賞 ,ﾍﾙﾌﾟ つなぐ ｽﾄｰﾘｰ ｵｸﾀｳﾞｨｱ ｽﾍﾟﾝｻｰ gg 受賞 
18,3,大島優子どういう気持だったか､察して頂けるとありがたい,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,大島 優子 どういう 気持 だ た か ､ 察す て 頂ける と ありがたい ,大島 優子 どういう 気持 察す 頂ける ありがたい 
19,8,smap×smap出演の香川真司先輩にもﾀﾒ口川島は何を言っているかわからない,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,smap×smap 出演 の 香川 真司 先輩 に も ﾀﾒ 口 川島 は 何 を 言う て いる か わかる ない ,smap×smap 出演 香川 真司 先輩 ﾀﾒ 川島 言う いる わかる ない 
20,7,iphoneで高度な画像編集が!ｼﾝﾌﾟﾙながら多機能な画像編集ｱﾌﾟﾘiphoneでﾁｬﾝｽを掴め,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,iphone で 高度 だ 画像 編集 が ! ｼﾝﾌﾟﾙ ながら 多 機能 だ 画像 編集 ｱﾌﾟﾘ iphone で ﾁｬﾝｽ を 掴める ,iphone 高度 画像 編集 ｼﾝﾌﾟﾙ ながら 機能 画像 編集 ｱﾌﾟﾘ iphone ﾁｬﾝｽ 掴める 
21,6,my little loverの名曲が聴けるお台場のｸﾘｽﾏｽﾂﾘｰ,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,my   little   lover の 名曲 が 聴ける お 台場 の ｸﾘｽﾏｽﾂﾘｰ ,my little lover 名曲 聴ける 台場 ｸﾘｽﾏｽﾂﾘｰ 
22,6,"終了しましたｶｼﾞｭｱﾙﾀﾞｲﾆﾝｸﾞkichiri0,000円分ｶｰﾄﾞをﾌﾟﾚｾﾞﾝﾄ!",50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"終了 する ます た ｶｼﾞｭｱﾙﾀﾞｲﾆﾝｸﾞ kichiri 0 , 000 円 分 ｶｰﾄﾞ を ﾌﾟﾚｾﾞﾝﾄ ! ",終了 する ます ｶｼﾞｭｱﾙﾀﾞｲﾆﾝｸﾞ kichiri 000 ｶｰﾄﾞ ﾌﾟﾚｾﾞﾝﾄ 
23,2,川上は星野新監督にﾄﾗｳﾏあり｡週刊文春報じる,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,川上 は 星野 新 監督 に ﾄﾗｳﾏ ある ｡ 週刊文春 報じる ,川上 星野 監督 ﾄﾗｳﾏ ある 週刊文春 報じる 
24,6,“まつ毛”は女の命! givenchyの“球体ﾏｽｶﾗ”にﾆｭｰﾌｪｲｽが登場,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,“ まつ毛 ” は 女 の 命 !   givenchy の “ 球体 ﾏｽｶﾗ ” に ﾆｭｰﾌｪｲｽ が 登場 ,まつ毛 givenchy 球体 ﾏｽｶﾗ ﾆｭｰﾌｪｲｽ 登場 
